Country_name,Shorten_name

Africa,WEOAFRICA
Asia Pacific,WEOASIAPAC
ASEAN,MASEAN
Asia excluding China,ASIA
Eurasia,WEOEURASIA
OECD Asia Oceania,OECDAO
Non-OECD Europe and Eurasia,EURASIA
Central & South America,WEOCSAM
OECD Americas,OECDAM
North America,WEONAM
Non-OECD Americas,LATINAMERI
Europe,WEOEUR
European Union - 28,EU28
OECD Europe,OECDEUR
Middle East,WEOMIDEAST
People's Republic of China,CHINA
Chinese Taipei,TAIPEI
Cote d'Ivoire,COTEIVOIRE
Curacao,CURACAO
Gibraltar,GIBRALTAR
Hong Kong,HONGKONG
Kosovo,KOSOVO
Slovak Republic,SLOVAKIA
China (People's Republic of China and Hong Kong China),CHINAREG
India,INDIA
United States,USA
Indonesia,INDONESIA
Pakistan,PAKISTAN
Brazil,BRAZIL
Nigeria,NIGERIA
Bangladesh,BANGLADESH
Russian Federation,RUSSIA
Mexico,MEXICO
Japan,JAPAN
Ethiopia,ETHIOPIA
Philippines,PHILIPPINE
Egypt,EGYPT
Viet Nam,VIETNAM
Democratic Republic of the Congo,CONGOREP
Turkey,TURKEY
Islamic Republic of Iran,IRAN
Germany,GERMANY
Thailand,THAILAND
United Kingdom,UK
France,FRANCE
Italy,ITALY
United Republic of Tanzania,TANZANIA
South Africa,SOUTHAFRIC
Myanmar,MYANMAR
Kenya,KENYA
Democratic People's Republic of Korea,KOREADPR
Colombia,COLOMBIA
Spain,SPAIN
Argentina,ARGENTINA
Algeria,ALGERIA
Sudan,SUDAN
Ukraine,UKRAINE
Iraq,IRAQ
Poland,POLAND
Canada,CANADA
Morocco,MOROCCO
Saudi Arabia,SAUDIARABI
Uzbekistan,UZBEKISTAN
Peru,PERU
Angola,ANGOLA
Malaysia,MALAYSIA
Mozambique,MOZAMBIQUE
Ghana,GHANA
Yemen,YEMEN
Nepal,NEPAL
Venezuela,VENEZUELA
Cameroon,CAMEROON
Korea,KOREA
Australia,AUSTRALI
Niger,NIGER
Sri Lanka,SRILANKA
Romania,ROMANIA
Chile,CHILE
Kazakhstan,KAZAKHSTAN
Zambia,ZAMBIA
Guatemala,GUATEMALA
Ecuador,ECUADOR
Syria,SYRIA
Netherlands,NETHLAND
Senegal,SENEGAL
Cambodia,CAMBODIA
Zimbabwe,ZIMBABWE
Benin,BENIN
Tunisia,TUNISIA
Bolivia,BOLIVIA
Belgium,BELGIUM
Haiti,HAITI
Cuba,CUBA
South Sudan,SSUDAN
Dominican Republic,DOMINICANR
Czech Republic,CZECH
Greece,GREECE
Jordan,JORDAN
Portugal,PORTUGAL
Azerbaijan,AZERBAIJAN
Sweden,SWEDEN
Honduras,HONDURAS
United Arab Emirates,UAE
Hungary,HUNGARY
Tajikistan,TAJIKISTAN
Belarus,BELARUS
Austria,AUSTRIA
Serbia,SERBIA
Israel,ISRAEL
Switzerland,SWITLAND
Togo,TOGO
Paraguay,PARAGUAY
Bulgaria,BULGARIA
Libya,LIBYA
Lebanon,LEBANON
Nicaragua,NICARAGUA
Kyrgyzstan,KYRGYZSTAN
El Salvador,ELSALVADOR
Turkmenistan,TURKMENIST
Singapore,SINGAPORE
Denmark,DENMARK
Finland,FINLAND
Congo,CONGO
Norway,NORWAY
Oman,OMAN
Costa Rica,COSTARICA
Ireland,IRELAND
New Zealand,NZ
Panama,PANAMA
Kuwait,KUWAIT
Croatia,CROATIA
Moldova,MOLDOVA
Georgia,GEORGIA
Eritrea,ERITREA
Uruguay,URUGUAY
Bosnia and Herzegovina,BOSNIAHERZ
Mongolia,MONGOLIA
Armenia,ARMENIA
Jamaica,JAMAICA
Qatar,QATAR
Albania,ALBANIA
Lithuania,LITHUANIA
Namibia,NAMIBIA
Botswana,BOTSWANA
Gabon,GABON
North Macedonia,FYROM
Slovenia,SLOVENIA
Latvia,LATVIA
Bahrain,BAHRAIN
Trinidad and Tobago,TRINIDAD
Estonia,ESTONIA
Mauritius,MAURITIUS
Cyprus,CYPRUS
Montenegro,MONTENEGRO
Luxembourg,LUXEMBOU
Suriname,SURINAME
Malta,MALTA
Brunei Darussalam,BRUNEI
Iceland,ICELAND